epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,24.6596,1.84249,2.98948,2.04725,0.05699,0.58348,0.09843,0.0312,2.56994,3.71034,2.73068,0.0002416,0.0002416,0.0002416
42,25.222,2.31516,3.08093,2.29834,0.05699,0.58348,0.09843,0.0312,2.56994,3.71034,2.73068,0.000243581,0.000243581,0.000243581
43,25.923,1.95754,2.90922,2.28942,0.06162,0.59863,0.11997,0.03414,2.43054,3.71675,2.66796,0.000245364,0.000245364,0.000245364
44,26.4881,2.10398,2.84269,2.19668,0.06162,0.59863,0.11997,0.03414,2.43054,3.71675,2.66796,0.000246949,0.000246949,0.000246949
45,27.0917,2.42614,3.4497,2.34685,0.06001,0.5963,0.16834,0.04718,2.46218,3.71974,2.66604,0.000248336,0.000248336,0.000248336
46,27.7045,2.09203,2.9757,2.34696,0.06001,0.5963,0.16834,0.04718,2.46218,3.71974,2.66604,0.000249525,0.000249525,0.000249525
47,28.3525,2.12785,2.94603,2.33985,0.06324,0.57168,0.12139,0.03638,2.41354,3.71374,2.66712,0.000250516,0.000250516,0.000250516
48,28.9381,2.15653,2.86293,2.30565,0.06324,0.57168,0.12139,0.03638,2.41354,3.71374,2.66712,0.000251309,0.000251309,0.000251309
49,29.5663,2.2505,2.72304,2.45908,0.06134,0.54219,0.15165,0.06036,2.37597,3.71624,2.6658,0.000251904,0.000251904,0.000251904
50,30.1736,2.343,3.07787,2.45384,0.06134,0.54219,0.15165,0.06036,2.37597,3.71624,2.6658,0.000252301,0.000252301,0.000252301
51,30.8489,1.91535,2.82445,2.11464,0.0599,0.52704,0.06196,0.02301,2.37201,3.73119,2.66541,0.0002525,0.0002525,0.0002525
52,31.4072,2.16314,2.88684,2.33726,0.0599,0.52704,0.06196,0.02301,2.37201,3.73119,2.66541,0.000252501,0.000252501,0.000252501
53,31.9688,2.41886,3.24891,2.49037,0.0599,0.52704,0.06196,0.02301,2.37201,3.73119,2.66541,0.000252304,0.000252304,0.000252304
